bathrooms,bedrooms,floor_location,link,neighborhood,parking_spots,price,stratum,surface,total_levels,yard,backyard,remodeled,terrace,residencial_building,pool,status_en construccion,status_lanzamiento,status_nuevo,status_para entrega,status_sobre planos,status_usado,city_cali,city_jamundi,city_palmira,property_type_apartamento,property_type_casa,property_type_lote o casalote
5.0,6.0,0.0,https://fincaraiz.elpais.com.co/aviso/casas-venta-cali-norte-bolivariano-vp1052639-DoraPatriciaMorales,bolivariano,0.0,290000000.0,3.0,170.0,3.0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0
3.0,5.0,0.0,https://fincaraiz.elpais.com.co/aviso/casas-venta-cali-sur-el-refugio-vp1161376-DoraPatriciaMorales,el refugio,0.0,300000000.0,4.0,170.0,2.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
6.0,4.0,0.0,https://fincaraiz.elpais.com.co/aviso/casas-venta-cali-sur-bella-suiza-ag1209121,bella suiza,0.0,950000000.0,0.0,420.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
3.0,5.0,0.0,https://fincaraiz.elpais.com.co/aviso/casas-venta-cali-sur-san-fernando-vp1127552-DoraPatriciaMorales,san fernando,0.0,350000000.0,5.0,300.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
0.0,0.0,1.0,http://www.metrocuadrado.com/proyecto/entreverdes-bochalema/515-C0003-01,,0.0,242752000.0,5.0,75.86,0.0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
0.0,0.0,1.0,http://www.metrocuadrado.com/proyecto/entreverdes-bochalema/515-C0003-02,,0.0,280637500.0,5.0,86.35,0.0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
0.0,0.0,1.0,http://www.metrocuadrado.com/proyecto/tulipanes-del-castillo-tipo-b/4094-C00001-02,,0.0,274100000.0,5.0,84.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
2.0,5.0,1.0,http://www.metrocuadrado.com/inmueble/venta-casa-cali-san-juan-bosco-5-habitaciones-2-banos/9947-10402065,san bosco,0.0,270000000.0,3.0,190.0,0.0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0
2.0,3.0,1.0,http://www.metrocuadrado.com/inmueble/venta-casa-cali-la-floresta-3-habitaciones-2-banos/9947-10401154,la floresta,0.0,190000000.0,3.0,84.0,0.0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
2.0,2.0,0.0,https://www.fincaraiz.com.co/apartamento-en-venta/cali/ciudad_bochalema-det-4153652.aspx,ciudad bochalema,1.0,212000000.0,4.0,66.37,0.0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
2.0,2.0,0.0,https://www.fincaraiz.com.co/apartamento-en-venta/cali/lido-det-4186222.aspx,el lido,1.0,125000000.0,4.0,78.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
2.0,2.0,0.0,https://www.fincaraiz.com.co/barcelo/cali/proyecto-nuevo-det-2627451.aspx,buenos aires,1.0,206380000.0,3.0,64.33,0.0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
2.0,2.0,0.0,https://www.fincaraiz.com.co/apartamento-en-venta/cali/ingenio-det-3860499.aspx,el ingenio,2.0,240000000.0,6.0,98.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
1.0,2.0,0.0,https://www.fincaraiz.com.co/apartamento-en-venta/cali/san_fernando-det-4156828.aspx,san fernando,1.0,250000000.0,4.0,67.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
5.0,3.0,0.0,https://fincaraiz.elpais.com.co/aviso/casas-venta-cali-sur-ciudad-jardin-ag1209122,ciudad jardin,0.0,670000000.0,6.0,240.0,2.0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0
2.0,7.0,0.0,https://fincaraiz.elpais.com.co/aviso/casas-venta-cali-oeste-el-penon-vp1105378-DoraPatriciaMorales,el penon,0.0,600000000.0,5.0,233.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
4.0,4.0,0.0,https://fincaraiz.elpais.com.co/aviso/casas-venta-cali-sur-pance-ag1209155,pance,0.0,750000000.0,6.0,278.0,2.0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
3.0,3.0,0.0,https://www.vivendo.co/proyectos/cali/mirasol-ii-ciudad-pacifica,sin barrio,0.0,238060000.0,3.0,81.43,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
3.0,3.0,0.0,https://www.vivendo.co/proyectos/cali/batik-casas-en-condominio-pance,sin barrio,0.0,721909788.0,6.0,51.65,0.0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
3.0,3.0,0.0,https://www.vivendo.co/proyectos/cali/yarumal-condominio-hipico,sin barrio,0.0,1328706477.0,6.0,269.52,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
3.0,3.0,0.0,https://www.vivendo.co/proyectos/cali/pance-campestre,sin barrio,0.0,1421546609.0,6.0,289.27,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1.0,3.0,1.0,http://www.metrocuadrado.com/inmueble/venta-apartamento-cali-canaverales-los-samanes-3-habitaciones-1-banos-1-garajes/9947-10402372,canaverales,1.0,135000000.0,3.0,53.0,0.0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
